time,latitude,longitude,depth,mag,place
2012-04-18 14:48:02.610000+00:00,39.968,77.095,43.3,4.6,"109 km ENE of Kashgar, China"
2012-04-18 14:49:33.310000+00:00,39.768,77.209,20.5,4.4,"109 km ENE of Kashgar, China"
2012-04-21 17:58:06.330000+00:00,38.831,66.333,10.0,4.8,"24 km NNE of G‘uzor, Uzbekistan"
2012-04-23 06:27:25.880000+00:00,38.366,73.571,128.9,4.4,"40 km WNW of Murghob, Tajikistan"
2012-04-27 10:32:45.330000+00:00,38.798,69.823,44.9,4.4,"4 km WNW of Roghun, Tajikistan"
2012-05-12 23:28:43.570000+00:00,38.612,70.354,10.0,5.7,"44 km SE of Darband, Tajikistan"
2012-05-13 00:13:01.560000+00:00,38.884,70.013,10.0,4.3,"4 km ENE of Darband, Tajikistan"
2012-05-17 15:00:14.140000+00:00,40.001,68.899,27.6,4.1,"13 km NW of Istaravshan, Tajikistan"
2012-05-27 16:39:10.600000+00:00,38.815,70.329,44.0,4.1,"24 km S of Rasht, Tajikistan"
2012-05-30 21:20:56.160000+00:00,43.384,78.745,17.2,5.4,"55 km NW of Kegen, Kazakhstan"
2012-05-31 16:03:33.400000+00:00,38.796,70.338,55.8,4.0,"26 km S of Rasht, Tajikistan"
2012-06-01 12:32:27.690000+00:00,39.803,75.194,47.5,5.3,"77 km WNW of Kashgar, China"
2012-06-06 07:26:14.640000+00:00,44.344,79.888,42.0,4.5,"21 km NNW of Zharkent, Kazakhstan"
2012-06-08 06:47:03.620000+00:00,42.631,69.782,40.3,4.5,"19 km WNW of Sastobe, Kazakhstan"
2012-06-14 03:08:11.370000+00:00,40.194,77.977,23.6,4.1,"188 km ENE of Kashgar, China"
2012-06-14 21:51:26.280000+00:00,42.166,84.279,13.0,5.2,"122 km ENE of Kuqa, China"
2012-06-26 00:32:40.060000+00:00,41.235,74.551,10.0,4.4,"105 km W of At-Bashi, Kyrgyzstan"
2012-06-29 21:07:33.860000+00:00,43.433,84.7,18.0,6.3,"117 km E of Xinyuan, China"
2012-06-29 22:11:12.320000+00:00,43.443,84.789,10.0,4.0,"124 km E of Xinyuan, China"
2012-06-29 22:30:09.900000+00:00,43.488,84.741,10.0,4.1,"120 km E of Xinyuan, China"
2012-06-30 00:46:49.010000+00:00,43.442,84.896,10.0,4.5,"132 km SW of Shihezi, China"
2012-06-30 07:35:57.290000+00:00,43.389,84.638,13.6,4.6,"112 km E of Xinyuan, China"
2012-06-30 10:08:58.560000+00:00,43.543,84.686,10.0,4.6,"116 km E of Xinyuan, China"
2012-07-01 21:48:13.790000+00:00,43.456,84.756,38.6,4.2,"121 km E of Xinyuan, China"
2012-07-03 13:37:34.160000+00:00,39.663,74.201,63.2,4.4,"144 km SSE of Uzgen, Kyrgyzstan"
2012-07-12 05:35:46.200000+00:00,38.294,74.654,95.7,4.0,"61 km ENE of Murghob, Tajikistan"
2012-07-21 01:05:18.480000+00:00,43.332,82.842,10.0,4.5,"34 km WSW of Xinyuan, China"
2012-07-21 18:51:14.970000+00:00,39.131,70.359,44.3,4.1,"11 km N of Rasht, Tajikistan"
2012-07-23 18:32:31.610000+00:00,39.306,68.283,35.8,4.4,"24 km WSW of Ayní, Tajikistan"
2012-07-26 01:06:31.770000+00:00,38.313,74.008,130.7,5.2,Tajikistan-Xinjiang border region
2012-07-28 00:35:11.350000+00:00,38.755,71.934,35.0,4.0,"64 km SSE of Karakenja, Tajikistan"
2012-08-01 09:52:22.370000+00:00,39.774,75.556,52.3,5.0,"50 km NW of Kashgar, China"
2012-08-07 09:43:23.530000+00:00,39.368,77.289,10.0,4.4,"105 km N of Shache, China"
2012-08-11 09:34:22.790000+00:00,39.963,78.154,21.7,5.1,"188 km NNE of Shache, China"
2012-08-22 07:57:38.890000+00:00,41.251,68.064,10.0,4.2,"7 km E of Chardara, Kazakhstan"
2012-09-01 06:47:14.930000+00:00,43.588,84.741,39.4,4.4,"121 km E of Xinyuan, China"
2012-09-06 11:33:53.580000+00:00,41.715,81.343,10.0,4.2,"106 km ENE of Aksu, China"
2012-09-10 14:03:17.850000+00:00,39.23,74.272,48.0,4.6,"120 km NNE of Murghob, Tajikistan"
2012-09-12 05:50:54.770000+00:00,41.799,72.005,46.1,4.4,"39 km NNE of Kerben, Kyrgyzstan"
2012-09-14 03:21:45.400000+00:00,43.637,82.425,10.0,5.0,"70 km WNW of Xinyuan, China"
2012-09-21 10:09:27.560000+00:00,40.493,77.427,46.2,4.5,"156 km ESE of At-Bashi, Kyrgyzstan"
2012-09-29 04:25:10.110000+00:00,38.713,70.416,23.8,4.0,"35 km S of Rasht, Tajikistan"
2012-09-30 07:14:41.820000+00:00,38.334,71.39,50.9,4.3,"94 km N of Khorugh, Tajikistan"
2012-09-30 23:04:45+00:00,41.469,81.886,46.6,4.7,"91 km WSW of Kuqa, China"
2012-10-03 15:28:09.100000+00:00,43.016,69.863,6.8,4.1,"17 km SSW of Bayzhansay, Kazakhstan"
2012-10-14 16:30:09.360000+00:00,40.783,74.064,11.3,4.3,"64 km E of Uzgen, Kyrgyzstan"
2012-10-21 10:58:28.260000+00:00,38.193,74.135,145.2,4.5,"14 km E of Murghob, Tajikistan"
2012-10-25 07:05:49.510000+00:00,39.718,78.353,36.3,4.0,"173 km NE of Shache, China"
2012-10-26 01:52:59.790000+00:00,39.881,75.838,35.0,4.0,"47 km NNW of Kashgar, China"
2012-10-27 11:37:56.710000+00:00,39.315,73.534,12.8,4.4,"112 km ESE of Kyzyl-Eshme, Kyrgyzstan"
